"Date","rstar","g","z","output gap","real rate gap","","","All results are output from the Stage 3 model.","","","","","","","","","","","","","","","Standard Errors","Date","y*","r*","g","","","rstar (smoothed)","g (smoothed)","z (smoothed)","output gap (smoothed)"
1961-01-01,5.08724626122781,4.8013518351798,0.00249654242846727,-3.74284187868898,-3.65514626122781,NA,NA,"Parameter Point Estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39209037465996,4.20010875940086,-0.0559281347960086,-3.37434590230509
1961-04-01,5.30563354325446,5.00211267134361,0.00827315973560973,-3.43283492761213,-3.81303354325446,NA,NA,"a_1","a_2","a_3","b_1","b_2","b_3","b_4","b_5","c","sigma_1","sigma_2","sigma_4","phi","kappa2020Q2-Q4","kappa2021","kappa2022",NA,NA,NA,NA,NA,NA,4.37762287413737,4.19260356348565,-0.0624474481976848,-2.90533062509212
1961-07-01,5.26401047229373,4.9607808988577,0.0104214527031199,-2.70817720661591,-3.81251047229373,NA,NA,"1.38249523455883","-0.441782645330028","-0.0765242266011299","0.577834690551332","0.369705987983517","0.0479643889529117","0.00250366778495888","0.039233093853234","1.05902460251779","0.446074398436774","0.755445624811668","0.502546996060877","-0.0973096501733113","8.07187273469184","1.66282421315837","1.32491109436559",NA,NA,NA,NA,NA,NA,4.35967543230197,4.18253616486548,-0.0697332672109628,-2.16000361542115
1961-10-01,5.25429213639288,4.95403243539817,0.00784990563510927,-2.01540583663541,-3.67349213639288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33933014223847,4.17038137562594,-0.0772063364313692,-1.3808609616209
1962-01-01,5.10930606671792,4.81525264002063,0.00983505359734922,-1.2137818954086,-3.58300606671792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31941921734121,4.15747857268637,-0.0834528755741866,-0.778899065026053
1962-04-01,4.61751207412553,4.35951678343967,0.000676545373716326,-0.620787647763677,-3.05971207412553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30866573125691,4.15160050055767,-0.087981338658824,-0.601276597386914
1962-07-01,4.50653251177919,4.25698947045779,-0.00172407009478066,-0.267200141523631,-2.93923251177919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30160652379025,4.14717009163202,-0.0903486340740087,-0.47140558036665
1962-10-01,4.07304752784909,3.86431518995715,-0.0193573301987253,-0.102818159086496,-2.38934752784909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30737237591448,4.15312446418395,-0.0908886089748157,-0.663231291209399
1963-01-01,4.06270339430122,3.85176798708778,-0.0164136672151509,0.0700286055373454,-2.46710339430122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31444478627551,4.15986431139796,-0.0909538626306519,-0.594452169565329
1963-04-01,4.02772304041019,3.81714508328338,-0.0147275141667171,0.326321055726112,-2.49222304041019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32268447806321,4.16827152346663,-0.0916176152622504,-0.383717114374804
1963-07-01,4.33657680655499,4.09811665764791,-0.00342955788210858,0.733361265009421,-2.38877680655499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32174070150223,4.16774871275656,-0.092007722418806,0.191368619384662
1963-10-01,4.0798235858176,3.85547180403808,-0.00321590897236043,1.15313767205566,-2.1264235858176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32967781300175,4.17549789356262,-0.0922771840422577,0.296465562482013
1964-01-01,4.36525845323099,4.11986824100231,0.00221662687786472,1.39780803486929,-2.37345845323099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32737760499542,4.17397623313728,-0.0929659162214736,0.804018026266476
1964-04-01,4.28413404527692,4.05622262461261,-0.0115055074771131,1.61566766863996,-2.17403404527692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32867244466355,4.17545501859411,-0.0932371467339779,0.996497539811799
1964-07-01,4.37991748008621,4.15011561023058,-0.0151570544410925,1.78922657758312,-2.26681748008621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3270469457985,4.17336595228043,-0.0926502729765507,1.22904842138928
1964-10-01,4.14192978133844,3.94117336504528,-0.031869775032324,1.78926483091095,-1.82472978133844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33452159571539,4.1806752602521,-0.0929163600290304,1.12482455999384
